county,population,median_income,poverty_rate,bachelors_or_higher_pct,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,private_schools_per_100k,private_enrollment_per_100k
medina,51432,73060,10.274321324562655,22.182561386338122,2.0,115.0,12.0,5.95,9.583333333333334,3.888629646912428,223.59620469746463
menard,1964,40945,22.4830464267084,23.86885245901639,0.0,0.0,0.0,0.0,0.0,0.0,0.0
midland,169393,90123,10.75262401021559,29.44701509519836,12.0,3097.0,304.0,20.500137296716666,10.1875,7.0841179977921165,1828.2927865968488
milam,25080,56985,14.27233488069061,18.23928822289862,2.0,104.0,9.9,10.876582278499999,10.505050505050505,7.974481658692185,414.6730462519936
mills,4501,59315,6.876591803658254,28.45360824742268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mitchell,8947,49869,14.450145610872278,9.59882762410698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
montague,20197,63336,12.955037510699361,16.719487287837172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
montgomery,629989,95946,8.815014363800985,37.74240863082611,30.0,4130.0,420.9,9.779022220453333,9.812306961273462,4.7619879077253735,655.5670019635263
moore,21284,59041,13.479891743032143,11.843468558221089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morris,11993,51532,15.766073871409029,13.543074843308345,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motley,1223,66528,9.403107113654947,20.412595005428884,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nacogdoches,64768,51153,22.4418722029678,25.358610632374383,2.0,216.0,26.8,7.728009259249999,8.059701492537313,3.08794466403162,333.498023715415
navarro,52834,56261,16.45697030699547,17.003679175864605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
newton,12333,38871,24.21849292530438,6.788780767029193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nolan,14657,47437,15.535739166782777,13.955928646379853,1.0,28.0,4.6,6.0869565217,6.086956521739131,6.822678583611926,191.03500034113392
nueces,353245,64027,17.30461965960403,22.490441627037896,20.0,2181.0,256.9,8.72327495727,8.489684702218764,5.6617928066922385,617.4185055697886
ochiltree,9924,62240,12.216227221826326,18.558736426456072,1.0,15.0,2.0,7.5,7.5,10.076582023377672,151.14873035066506
oldham,2171,71103,17.17062634989201,23.886328725038403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orange,84761,71910,11.92052190298997,17.1633232766986,2.0,131.0,24.4,5.36954915,5.368852459016394,2.3595757482804594,154.5522115123701
palo pinto,28569,65242,15.83362831858407,18.062760002054336,0.0,0.0,0.0,0.0,0.0,0.0,0.0
panola,22540,58205,13.971856559237402,16.152236463510334,1.0,35.0,5.6,6.25,6.25,4.436557231588288,155.27950310559004
parker,151188,95721,7.912413853267034,30.880566008153025,4.0,721.0,72.2,8.803499227725,9.986149584487535,2.645712622694923,476.88970024075985
parmer,9809,65575,9.513023782559456,18.45018450184502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pecos,15114,59325,22.965230358684565,11.471903558234493,0.0,0.0,0.0,0.0,0.0,0.0,0.0
polk,50536,57315,16.369391334103256,13.18642211880646,2.0,78.0,12.399999999999999,6.3479623824,6.290322580645162,3.9575747981636855,154.34541712838373
potter,117905,47974,20.708042586864252,16.96768693891686,4.0,611.0,72.9,8.301415795775,8.381344307270233,3.392561808235444,518.2138162079641
presidio,6168,29012,39.99675482719455,21.217712177121772,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rains,12257,60291,10.993344836085777,20.4983135676205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
randall,141489,78038,9.433295086344382,32.709488518752885,5.0,419.0,61.9,6.936631956559999,6.768982229402262,3.5338436203521124,296.136095385507
reagan,3308,70319,7.186358099878197,11.983887210473315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real,2830,46842,24.527574238333976,20.945602440264363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
red river,11627,44583,20.211742059672762,13.968591333097176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reeves,14022,57487,20.96611615104288,9.841269841269842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
refugio,6718,54304,16.297878834121775,11.205613438230916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roberts,764,62667,14.736842105263156,19.21641791044776,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robertson,16912,59410,14.248937316649704,18.38006230529595,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rockwall,110631,121303,4.173165859398517,43.8688542794481,7.0,799.0,108.0,6.695568535028571,7.398148148148148,6.3273404380327385,722.2207157125941
runnels,9858,55424,11.8580375782881,18.3187134502924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rusk,52755,61661,13.423717465896729,15.833356416719758,1.0,96.0,21.0,4.5714285714,4.571428571428571,1.8955549237039144,181.97327267557577
sabine,9980,47061,17.309644670050762,17.88201287610038,0.0,0.0,0.0,0.0,0.0,0.0,0.0
san augustine,7920,45888,27.284578281840698,12.775782452539763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
san jacinto,27666,54839,17.37739484494856,15.998773257002657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
san patricio,68942,63842,15.759941089837998,17.60304659498208,0.0,0.0,0.0,0.0,0.0,0.0,0.0
san saba,5779,54087,14.280170741171904,19.436345966958214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
schleicher,2474,53774,14.476885644768856,13.595166163141995,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scurry,16883,58932,11.822096622258108,18.558476881233002,1.0,45.0,6.0,7.5,7.5,5.923117929277972,266.54030681750874
shackelford,3134,60924,11.301259283177268,32.402234636871505,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shelby,24157,49231,23.26406276080788,13.833668847508807,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sherman,2414,66169,8.319327731092436,21.785940468651045,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smith,234667,69053,12.6128296201567,27.37845123504276,14.0,3115.0,334.0,7.734765365564286,9.326347305389222,5.965900616618442,1327.4128871976034
somervell,9337,87899,7.281659388646289,28.597560975609753,1.0,106.0,21.6,4.9074074074,4.907407407407407,10.71007818357074,1135.2682874584984
starr,65716,35979,33.4602394841879,12.732902235861465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stephens,9260,44712,16.659096070860777,18.40944881889764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sterling,1392,63558,1.7699115044247788,23.414634146341466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stonewall,1331,66591,7.059736229635376,15.084525357607282,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sutton,3345,56778,16.56644618159952,15.341772151898732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swisher,6989,40290,29.516179704681118,19.29785824685361,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tarrant,2113854,78872,11.020606979690559,33.91045357754241,85.0,14323.0,1710.5,8.085999379111765,8.373574978076586,4.021091333649344,677.5775431983476
taylor,143029,61806,14.582206301630235,28.670735064696707,5.0,550.0,34.4,13.512517985619999,15.988372093023257,3.4957945591453483,384.53740150598827
