county,population,median_income,poverty_rate,bachelors_or_higher_pct
victoria,91209,66308,16.642231200546163,19.19690680235672
walker,77182,47193,19.459326211996714,19.32128639450472
waller,57463,71643,13.027529874451671,24.87463336171823
ward,11347,70771,13.616945532217873,11.344654788418708
washington,35807,70043,11.889925762499628,28.853068815871048
webb,267282,59984,21.38728980457506,20.583272437387894
wharton,41614,59712,14.645342449029423,18.106648046745804
wheeler,4980,58158,18.334356455903418,17.265353418308226
wichita,129584,58862,15.754212800777353,23.866740140878814
wilbarger,12795,50769,18.393442622950822,16.63794093990578
willacy,20308,42839,26.617297011372653,10.482747949868482
williamson,617396,102851,6.340779341205434,46.28418147783632
wilson,50381,89708,10.290269334514273,25.393120751524346
winkler,7582,89155,12.63340448239061,9.090909090909092
wise,70062,85385,9.081235514481873,20.805639049997886
wood,45341,61748,12.625752216454591,21.13308261555259
yoakum,7630,80317,13.620825663949512,9.682332463011315
young,17903,65565,15.71623310235147,22.541445356510543
zapata,13896,35061,37.18611252638475,11.34984833164813
zavala,9700,49243,31.004774756072244,13.758158708347649
