school_name,state,county,city,zip_code,students,teachers_fte,student_teacher_ratio,religion_code,school_level_code
ST DAVIDS EPISCOPAL SCHOOL,TX,bexar,San Antonio,78209,7,1.0,7.0,2,1
THE CIRCLE SCHOOL,TX,bexar,San Antonio,78209,73,7.9,9.2405063291,3,1
GOOD SHEPHERD EPISCOPAL SCHOOL,TX,travis,Austin,78763,21,3.0,7.0,2,1
ST MATTHEW'S EPISCOPAL SCHOOL,TX,travis,Austin,78759,16,2.0,8.0,2,1
LUBBOCK CHRISTIAN SCHOOL,TX,lubbock,Lubbock,79407,311,28.4,10.950704225,2,3
MIDLAND CHRISTIAN SCHOOL,TX,midland,Midland,79705,1253,141.8,8.8363892807,2,3
TRINITY CHRISTIAN ACADEMY,TX,dallas,Addison,75001,1322,157.1,8.4150222788,2,3
BRENTWOOD CHRISTIAN SCHOOL,TX,travis,Austin,78753,629,49.8,12.630522088,2,3
THE CHRISTIAN SCHOOL AT CASTLE HILLS,TX,bexar,San Antonio,78213,525,40.9,12.836185819,2,3
LIFESTYLE CHRISTIAN SCHOOL,TX,montgomery,Conroe,77304,88,11.6,7.5862068966,2,3
DUCHESNE ACADEMY OF THE SACRED HEART,TX,harris,Houston,77024,659,95.0,6.9368421053,1,3
EPISCOPAL SCHOOL OF DALLAS PK-12,TX,dallas,Dallas,75229,1104,154.3,7.1548930655,2,3
RIVER OAKS BAPTIST SCHOOL,TX,harris,Houston,77027,778,79.5,9.786163522,2,1
ST MARY'S HALL,TX,bexar,San Antonio,78217,689,90.0,7.6555555556,3,3
HYDE PARK SCHOOL,TX,travis,Austin,78765,739,78.5,9.4140127389,2,3
FORT WORTH CHRISTIAN SCHOOL,TX,tarrant,North Richland Hills,76180,543,50.4,10.773809524,2,3
SECOND BAPTIST SCHOOL,TX,harris,Houston,77057,955,107.0,8.9252336449,2,3
THE KINKAID SCHOOL - HEAD OF SCHOOL OFFICE,TX,harris,Houston,77024,1360,198.0,6.8686868687,3,3
