county,population,median_income,poverty_rate,bachelors_or_higher_pct,private_school_count,private_enrollment,private_teachers_fte,avg_student_teacher_ratio,private_student_teacher_ratio,private_schools_per_100k,private_enrollment_per_100k,public_student_count,district_count,avg_econ_disadv_pct,avg_attendance_rate,avg_chronic_absenteeism_rate,avg_ccmr_rate,avg_graduation_rate
fannin,36052,65835,12.83161720169594,20.57183533040693,1.0,11.0,2.0,5.5,5.5,2.773771219349828,30.511483412848108,5513.0,8.0,56.838908035552336,94.8442408851805,14.025612189370579,31.840359151097406,98.24384182840559
fayette,24564,72881,10.16042780748663,24.059983337961675,3.0,236.0,27.200000000000003,7.6101035369,8.676470588235293,12.212994626282365,960.755577267546,3749.0,5.0,53.00186716457722,95.28580954921313,11.89221125633502,32.426993865030674,96.7239263803681
fisher,3680,60461,12.17966381923395,19.900306748466257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,568.0,2.0,47.208450704225356,94.8774647887324,13.832394366197182,26.601408450704227,97.75915492957746
floyd,5386,49321,19.02621722846442,16.02637614678899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1062.0,2.0,72.840395480226,94.26318267419963,16.36864406779661,67.60668549905839,97.2831450094162
foard,1075,41944,22.0703125,16.045845272206304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,1.0,58.2,96.8,3.6,64.3,100.0
fort bend,832607,109987,6.925968627982909,48.62033262753365,54.0,3637.0,445.1,7.608449926331481,8.171197483711525,6.485652895063336,436.82073295084,133325.0,4.0,46.51333433339584,94.77581548846801,13.294012375773486,20.045890118132384,94.24457603600226
franklin,10445,67915,8.623693379790941,30.717794759825328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1606.0,1.0,57.29999999999999,94.7,14.199999999999998,62.70000000000001,95.5
freestone,19599,55902,12.658227848101266,17.38158748468027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3509.0,4.0,55.01587346822457,94.24730692504987,15.99504132231405,25.163151587777115,95.92669263031755
frio,18151,56042,20.66222463965189,8.516084990186876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2787.0,2.0,82.2627915321134,90.69052744886976,34.63789020452099,26.322461428058844,95.45683530678149
gaines,21523,73299,12.660713450839218,10.398628375482213,3.0,717.0,58.0,13.086538461666668,12.362068965517242,13.938577335873251,3331.319983273708,3753.0,3.0,62.53812949640288,93.68001598721024,18.059792166266984,54.400959232613914,94.15123900879297
galveston,350801,83913,11.018453523921128,33.805945879739326,16.0,1688.0,186.5,7.53151641354375,9.05093833780161,4.560990419069501,481.1844892118324,80569.0,10.0,48.05195546674278,93.76556616068214,17.718030508011765,19.104079399034877,96.48761380030844
garza,5735,56215,15.389972144846798,13.275613275613276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818.0,2.0,71.03227383863081,92.70660146699267,26.50220048899756,0.0,97.98728606356967
gillespie,26953,70162,9.070405593354131,35.233265720081135,2.0,437.0,43.1,9.9654761905,10.139211136890951,7.420324268170519,1621.3408525952586,3628.0,3.0,58.07861080485115,95.07254685777288,11.288919514884235,23.47161862527716,97.74151884700665
glasscock,1068,112188,5.243445692883896,37.75372124492557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.0,1.0,6.1,96.4,6.5,61.900000000000006,100.0
goliad,7092,58125,9.98283752860412,17.842981760507534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1238.0,1.0,44.6,94.7,13.8,29.6,95.9
gonzales,19736,64255,13.072568193515185,13.086090638231145,1.0,18.0,3.6,5.0,5.0,5.066882853668423,91.2038913660316,3868.0,3.0,75.51509824198551,92.63684074457083,25.649172699069286,45.751008273009305,94.59935367114788
gray,21272,54563,16.996412096360842,16.030154327572717,1.0,34.0,5.0,6.8,6.8,4.701015419330576,159.83452425723956,3529.0,4.0,62.43128364975914,92.44978747520544,25.122187588552,32.83477011494253,91.82830459770115
grayson,137008,66608,11.427189882834297,22.81962606722144,4.0,526.0,58.7,9.3366845806,8.960817717206133,2.9195375452528323,383.9191872007474,25745.0,13.0,52.82439308603612,94.09277141192464,16.549069722276172,29.837277141192462,96.71435618566713
gregg,124245,63811,16.544634026744678,22.42343309287872,12.0,1196.0,155.6,7.063494291683334,7.686375321336762,9.658336351563444,962.6141897058232,22861.0,8.0,68.76087222781157,95.25446393421109,12.938077949346049,27.78064389134334,97.54201478500504
grimes,29442,63484,14.374613481756338,19.425030978934323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4936.0,4.0,63.163371150729326,93.97429092382495,16.839201782820098,21.417524311183143,96.25
guadalupe,173828,88111,8.705674171692007,29.539614283118613,3.0,260.0,32.0,7.2724867725,8.125,1.7258439376855284,149.57314126607912,26579.0,4.0,44.18094360209188,93.36960382256669,19.81360848790398,21.484833891418038,95.0058166221453
hale,32525,50721,18.51202487677396,14.802896218825424,1.0,87.0,16.4,5.3048780488,5.3048780487804885,3.07455803228286,267.4865488086088,5750.0,5.0,74.15431304347827,93.35346086956523,20.865234782608695,39.63271304347826,95.34737391304348
hall,2847,43873,18.56887298747764,18.20020222446916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.0,2.0,65.37788649706458,94.82583170254404,10.796673189823874,33.56692759295498,97.979843444227
hamilton,8244,54890,17.143924302788843,25.05161734342739,1.0,5.0,1.0,5.0,5.0,12.1300339640951,60.65016982047549,1445.0,2.0,53.28622837370243,95.21363321799309,11.693217993079582,31.022422145328715,97.79764705882353
hansford,5270,62350,8.355795148247978,29.57875457875458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1223.0,3.0,55.60065412919052,96.23385118560915,6.285118560915781,27.992313982011446,99.25296803652968
hardeman,3541,60455,11.174785100286533,17.428224828143954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,2.0,76.76677419354839,95.20951612903227,11.86516129032258,70.87354838709678,100.0
